;CountryName;CountryID;lowcarbonRDexp;year;Electricity_production_from_oil_gas_coal;general_public_expenditures;Coal_rents_percentage_of_GDP;Inflation;GDP_growth_annual_percentage;Natural_gas_rents_percentage_of_GDP;Oil_rents_percentage_of_GDP;disproportionality;election_year;green_vs_growth;left_vs_right;green_cabinet;left_incumbent_gov;single_party_gov;environmental_saliency ;political_constraints;institutional_constraints;social_expenditures;EU;prop;fed;pres;bic;deficit
AUT;Austria;2;2;2008;30.0268096514745;19.2721309580265;0;1.95632228093217;1.4604236757386;0.0506746931484328;0.0735709864761821;2.02;1;-3.67483735;0.493334770;0;1;0;4.21;0.4170968;4;27.31;1;2;1;1;2;-1.49601343042383
AUT;Austria;2;3;2009;27.917847879848;20.6842134754264;0;1.88926417785875;-3.76457817791677;0.0478866127822903;0.0423835756446248;2.02;0;-3.00011158;-0.170163542;0;1;0;4.21;0.4376234;4;29.48;1;2;1;1;2;-5.33279346472471
AUT;Austria;2;4;2010;32.8686666470398;20.4925476679965;0;0.873054962177932;1.83709367680054;0.0395347207219581;0.063780314401071;2.02;0;-2.23408008;-0.897332072;0;1;0;4.21;0.4376234;4;29.42;1;2;1;1;2;-4.44911264484048
BEL;Belgium;3;1;1990;37.8051556364878;20.2172850732894;0.00232780164673406;2.81240371323102;3.13740231557445;0.000143905125021759;0;3.75;0;-4.32025766;4.382890701;0;0;0;5.47;0.6881871;3;24.88;1;2;0;0;3;-6.72174953172132
BEL;Belgium;3;1;1991;38.3235467648133;20.8629258399334;0.00124020959035437;2.87662448038799;1.83307427728701;9.91501208683668e-05;0;3.75;1;-8.73223782;5.395483017;0;0;0;4.43;0.6881871;3;25.65;1;2;0;0;3;-7.28562287569789
BEL;Belgium;3;1;1992;37.4387340708584;20.9609310665367;0.000208553146917284;3.42452455952036;1.53065494385902;3.59868817233881e-05;0;3.75;0;-10.99529171;5.305333614;0;1;0;4.43;0.7071857;3;24.66;1;2;0;0;3;-7.97072613833654
BEL;Belgium;3;1;1993;38.5411314722841;21.2946426523691;0;3.99323192277683;-0.961873309776593;3.4184055129302e-05;0;3.75;0;-11.41597652;4.660681248;0;1;0;4.43;0.7071857;4;25.73;1;2;2;0;3;-7.36877818927098
BEL;Belgium;3;2;1994;41.321259864594;21.1019338255165;0;2.09430477567449;3.22697152488935;6.32919043039618e-06;0;3.75;0;-11.83666039;4.016028404;0;1;0;4.43;0.7071857;4;25.12;1;2;2;0;3;-5.02621689432343
BEL;Belgium;3;2;1995;41.8561945698895;21.2989651245599;0;1.22076958003412;2.38475727961249;1.25938350980389e-06;0;3.75;1;-12.16705513;3.296302319;0;1;0;5.35;0.7071857;4;25.66;1;2;2;0;3;-4.50820450939218
BEL;Belgium;3;2;1996;40.5999627352338;21.7183862211024;0;0.476619740910181;1.32145093041325;1.30602843218269e-05;0;3.75;0;-12.30793381;2.080891848;0;1;0;5.35;0.7081103;4;26.26;1;2;2;0;3;-4.00258535401616
